project_name,project_links,type,units
Soho 188,https://www.propertyguru.com.sg//project/soho-188-253,apartment,53.0
Sherwood Towers,https://www.propertyguru.com.sg//project/sherwood-towers-266,apartment,269.0
YewTee Residences,https://www.propertyguru.com.sg//project/yewtee-residences-263,apartment,139.0
Proximo,https://www.propertyguru.com.sg//project/proximo-256,apartment,46.0
The Citrine,https://www.propertyguru.com.sg//project/the-citrine-255,apartment,54.0
City Edge,https://www.propertyguru.com.sg//project/city-edge-261,apartment,49.0
Nomu,https://www.propertyguru.com.sg//project/nomu-262,apartment,50.0
Newton Suites,https://www.propertyguru.com.sg//project/newton-suites-279,apartment,118.0
Oleander Towers,https://www.propertyguru.com.sg//project/oleander-towers-303,apartment,318.0
Textile Centre,https://www.propertyguru.com.sg//project/textile-centre-316,apartment,132.0
Neptune Court,https://www.propertyguru.com.sg//project/neptune-court-307,apartment,752.0
Cliften,https://www.propertyguru.com.sg//project/cliften-310,apartment,32.0
The Estiva,https://www.propertyguru.com.sg//project/the-estiva-321,apartment,33.0
Estique,https://www.propertyguru.com.sg//project/estique-332,apartment,28.0
The Treeline,https://www.propertyguru.com.sg//project/the-treeline-331,apartment,34.0
International Plaza,https://www.propertyguru.com.sg//project/international-plaza-335,apartment,210.0
Cairnhill Plaza,https://www.propertyguru.com.sg//project/cairnhill-plaza-325,apartment,204.0
Twin Heights,https://www.propertyguru.com.sg//project/twin-heights-326,apartment,132.0
One Oxley Rise,https://www.propertyguru.com.sg//project/one-oxley-rise-369,apartment,89.0
Robertson Blue,https://www.propertyguru.com.sg//project/robertson-blue-365,apartment,36.0
R66 Apartments,https://www.propertyguru.com.sg//project/r66-apartments-362,apartment,34.0
Buckley 18,https://www.propertyguru.com.sg//project/buckley-18-337,apartment,49.0
The Bale,https://www.propertyguru.com.sg//project/the-bale-344,apartment,36.0
Strata,https://www.propertyguru.com.sg//project/strata-341,apartment,100.0
Iridium,https://www.propertyguru.com.sg//project/iridium-380,apartment,45.0
Calarasi,https://www.propertyguru.com.sg//project/calarasi-364,apartment,99.0
Studio 3,https://www.propertyguru.com.sg//project/studio-3-386,apartment,66.0
Three Three Robin,https://www.propertyguru.com.sg//project/three-three-robin-358,apartment,36.0
Palm Oasis,https://www.propertyguru.com.sg//project/palm-oasis-373,apartment,56.0
Laguna Park,https://www.propertyguru.com.sg//project/laguna-park-359,apartment,527.0
The Quayside,https://www.propertyguru.com.sg//project/the-quayside-378,apartment,79.0
The Tomlinson,https://www.propertyguru.com.sg//project/the-tomlinson-388,apartment,29.0
The Nclave,https://www.propertyguru.com.sg//project/the-nclave-383,apartment,30.0
Emily Residence,https://www.propertyguru.com.sg//project/emily-residence-384,apartment,38.0
Sunshine Regency,https://www.propertyguru.com.sg//project/sunshine-regency-409,apartment,33.0
Rhapsody on Mount Elizabeth,https://www.propertyguru.com.sg//project/rhapsody-on-mount-elizabeth-410,apartment,32.0
The Merlot,https://www.propertyguru.com.sg//project/the-merlot-403,apartment,42.0
The Lincoln Modern,https://www.propertyguru.com.sg//project/the-lincoln-modern-402,apartment,56.0
D'Gallery,https://www.propertyguru.com.sg//project/d-gallery-413,apartment,21.0
Chelsea Grove,https://www.propertyguru.com.sg//project/chelsea-grove-398,apartment,23.0
Ten @ Suffolk,https://www.propertyguru.com.sg//project/ten-suffolk-397,apartment,37.0
Robertson 100,https://www.propertyguru.com.sg//project/robertson-100-417,apartment,186.0
Ecoville,https://www.propertyguru.com.sg//project/ecoville-430,apartment,30.0
Lagoon View,https://www.propertyguru.com.sg//project/lagoon-view-426,apartment,480.0
People's Park Complex,https://www.propertyguru.com.sg//project/people-s-park-complex-428,apartment,288.0
Tai Gin Apartments,https://www.propertyguru.com.sg//project/tai-gin-apartments-431,apartment,16.0
The Orion,https://www.propertyguru.com.sg//project/the-orion-399,apartment,46.0
Newton 21 (Former Newton Euro-Asia),https://www.propertyguru.com.sg//project/newton-21-former-newton-euro-asia-427,apartment,69.0
Urban Edge @ Holland V,https://www.propertyguru.com.sg//project/urban-edge-holland-v-446,apartment,31.0
Regal 35,https://www.propertyguru.com.sg//project/regal-35-451,apartment,40.0
The Montage,https://www.propertyguru.com.sg//project/the-montage-420,apartment,32.0
D'Dalvey,https://www.propertyguru.com.sg//project/d-dalvey-423,apartment,37.0
Suffolk Premier,https://www.propertyguru.com.sg//project/suffolk-premier-433,apartment,41.0
Venezio,https://www.propertyguru.com.sg//project/venezio-453,apartment,40.0
Residences at 338A,https://www.propertyguru.com.sg//project/residences-at-338a-461,apartment,46.0
